Decimal,Hexadecimal,Name,Reference
0,0x0000,Reserved,[RFC6895]
1,0x0001,Internet (IN),[RFC1035]
2,0x0002,Unassigned,
3,0x0003,Chaos (CH),"[D. Moon, ""Chaosnet"", A.I. Memo 628, Massachusetts Institute of
Technology Artificial Intelligence Laboratory, June 1981.]"
4,0x0004,Hesiod (HS),"[Dyer, S., and F. Hsu, ""Hesiod"", Project Athena Technical
Plan - Name Service, April 1987.]"
5-253,0x0005-0x00FD,Unassigned,
254,0x00FE,QCLASS NONE,[RFC2136]
255,0x00FF,QCLASS * (ANY),[RFC1035]
256-65279,0x0100-0xFEFF,Unassigned,
65280-65534,0xFF00-0xFFFE,Reserved for Private Use,[RFC6895]
65535,0xFFFF,Reserved,[RFC6895]
